ts_score,source,url_hash,accommodation_id,ville_label,code_postal,code_dept,in_scope_encadrement,surface_m2,loyer_eur_total,eur_per_m2,dpe_letter,ges_letter,meuble,commune_slug,plafond_applied_eur_m2,encadrement_violation,encadrement_excess_eur_m2,encadrement_excess_pct,dpe_violation,violation_type,violation_score,score_version
2026-07-02T05:52:47+00:00,locservice,b36ea4dfd67ac932,100174,Lille (59000),59000,59,true,16,370,23.12,D,D,true,lille,23.4,none,0.0,0.0,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,ae296debdcd42859,100360,Lyon 03 (69003),69003,69,true,25,624,24.96,E,E,false,lyon,20.2,clear,4.76,23.6,future_E_2034,encadrement,2,0.2.0
2026-07-02T05:52:47+00:00,locservice,b5c7b5de7c706228,101102,Nantes (44000),44000,44,false,50,940,18.8,D,D,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,04658e88e182d6d6,101170,Nantes (44000),44000,44,false,27,505,18.7,C,C,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,c58a8e164e57f41b,105108,Nantes (44000),44000,44,false,28,525,18.75,C,C,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,18bdda37071fb5dc,106509,Aix-en-Provence (13080),13080,13,false,35,650,18.57,C,C,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,4932fd4eba71a98e,106807,Lyon 03 (69003),69003,69,true,25,695,27.8,C,A,false,lyon,20.2,clear,7.6,37.6,none,encadrement,2,0.2.0
2026-07-02T05:52:47+00:00,locservice,0640f48249adf65b,114473,Aix-en-Provence (13080),13080,13,false,26,550,21.15,C,D,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,ef6f604c6216bbc4,120002,Lyon 08 (69008),69008,69,true,39,850,21.79,D,B,true,lyon,20.2,presumed,1.59,7.9,none,encadrement,1,0.2.0
2026-07-02T05:52:47+00:00,locservice,512089adbdc0429a,120486,Paris 17 (75017),75017,75,true,30,1254,41.8,E,B,true,paris,40.0,presumed,1.8,4.5,future_E_2034,encadrement,1,0.2.0
2026-07-02T05:52:47+00:00,locservice,cde17f68c9ae31b4,128412,Lille (59000),59000,59,true,14,310,22.14,D,D,true,lille,23.4,none,0.0,0.0,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,53d7d3db0ea118d9,130600,Toulouse (31000),31000,31,false,24,495,20.62,D,D,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,469c6ed0534ad2c3,131993,Valenciennes (59300),59300,59,false,30,470,15.67,E,C,true,,,none,,,future_E_2034,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,5255960ec2d502b8,134368,Lille (59000),59000,59,true,14,400,28.57,E,D,true,lille,23.4,clear,5.17,22.1,future_E_2034,encadrement,2,0.2.0
2026-07-02T05:52:47+00:00,locservice,64304ed1ced3ae3f,142637,Rezé (44400),44400,44,false,68,829,12.19,D,B,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,ac06beede73a312b,146334,Lyon 04 (69004),69004,69,true,28,720,25.71,D,B,true,lyon,20.2,clear,5.51,27.3,none,encadrement,2,0.2.0
2026-07-02T05:52:47+00:00,locservice,9878dd4403c7aedb,149020,Marseille 05 (13005),13005,13,false,30,530,17.67,D,D,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,5c24e8d5c8f54d89,152690,Villeurbanne (69100),69100,69,true,19,590,31.05,D,A,true,villeurbanne,19.8,clear,11.25,56.8,none,encadrement,2,0.2.0
2026-07-02T05:52:47+00:00,locservice,8f72eaab3059e6aa,154888,Toulouse (31000),31000,31,false,60,830,13.83,C,A,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,c04335a5c5557c32,156713,Paris 11 (75011),75011,75,true,50,2400,48.0,E,B,true,paris,40.0,clear,8.0,20.0,future_E_2034,encadrement,2,0.2.0
2026-07-02T05:52:47+00:00,locservice,8fd68033d4d5bdd0,1595665,Bordeaux (33000),33000,33,true,20,600,30.0,E,B,true,bordeaux,20.9,clear,9.1,43.5,future_E_2034,encadrement,2,0.2.0
2026-07-02T05:52:47+00:00,locservice,1af7fbac2db77703,1607035,Paris 15 (75015),75015,75,true,23,1117,48.57,D,D,true,paris,40.0,clear,8.57,21.4,none,encadrement,2,0.2.0
2026-07-02T05:52:47+00:00,locservice,99dcd4c90c332bbb,160978,Aix-en-Provence (13080),13080,13,false,17,530,31.18,C,A,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,d3c8628a725cadc6,1619084,Toulouse (31000),31000,31,false,20,660,33.0,D,B,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,fa516b080d0f6cbc,162224,Toulouse (31000),31000,31,false,30,670,22.33,C,B,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,f51c39711932c252,1624779,Lyon 07 (69007),69007,69,true,11,600,54.55,C,C,true,lyon,20.2,clear,34.35,170.0,none,encadrement,2,0.2.0
2026-07-02T05:52:47+00:00,locservice,03eb344af535e5a7,1629401,Marseille 05 (13005),13005,13,false,31,870,28.06,D,B,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,9ca55d6c0ab85bf5,1665628,Paris 13 (75013),75013,75,true,36,1400,38.89,E,B,true,paris,40.0,none,0.0,0.0,future_E_2034,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,19d08226f415e184,1710706,Nantes (44000),44000,44,false,20,430,21.5,D,D,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,f520ec409ae2e4bf,175346,Saint-Félix-Lauragais (31540),31540,31,false,200,1700,8.5,B,A,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,27e371b0dc5d6760,178215,Marseille 08 (13008),13008,13,false,25,760,30.4,C,C,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,a6cc1c4265eec394,1799383,Paris 19 (75019),75019,75,true,31,1200,38.71,F,C,true,paris,40.0,none,0.0,0.0,future_F_2028,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,5463a220b1d41057,1807039,Mérignac (33700),33700,33,false,28,650,23.21,C,B,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,325d5999e8f6814a,1811685,Paris 17 (75017),75017,75,true,30,1300,43.33,D,D,true,paris,40.0,presumed,3.33,8.3,none,encadrement,1,0.2.0
2026-07-02T05:52:47+00:00,locservice,0862e6e07ce2c911,1838299,Saint-Fons (69190),69190,69,false,11,450,40.91,A,B,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,d05d060b0852f676,1845293,Soucieu-en-Jarrest (69510),69510,69,false,67,1160,17.31,C,C,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,183ca4ababb540e0,1865684,Andernos-les-Bains (33510),33510,33,false,35,850,24.29,C,C,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,870813b1b40da84f,1876588,Toulouse (31000),31000,31,false,64,990,15.47,A,A,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,1ffe9da5a4e6edc4,1880634,Valenciennes (59300),59300,59,false,23,430,18.7,A,A,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,a99052374b106541,1884361,Tournefeuille (31170),31170,31,false,41,890,21.71,C,C,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,4ca929cb890ab701,1895582,Toulouse (31000),31000,31,false,70,870,12.43,D,D,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,e8fa0ad465ab6e7f,1904594,Paris 15 (75015),75015,75,true,37,1320,35.68,D,B,false,paris,40.0,none,0.0,0.0,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,3f1418e6447aefe0,190511,Paris 17 (75017),75017,75,true,25,1190,47.6,D,D,true,paris,40.0,clear,7.6,19.0,none,encadrement,2,0.2.0
2026-07-02T05:52:47+00:00,locservice,fa5155fc4fde7495,1910519,Ramonville-Saint-Agne (31520),31520,31,false,13,420,32.31,C,C,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,b1a5c96851f37f62,191394,Plessé (44630),44630,44,false,136,930,6.84,D,D,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,3c5a29903eeafb4c,192865,Aix-en-Provence (13080),13080,13,false,12,395,32.92,D,C,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,bd4ad979dc234932,192946,Villeneuve-Tolosane (31270),31270,31,false,20,570,28.5,A,A,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,2dcf9808cc1bb0e0,1935134,Villeurbanne (69100),69100,69,true,79,1310,16.58,C,D,true,villeurbanne,19.8,none,0.0,0.0,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,cd11a48539d22194,193731,Gradignan (33170),33170,33,false,15,540,36.0,D,D,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,bc5dc8c95f136ceb,194634,Herbignac (44410),44410,44,false,75,840,11.2,D,D,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,e4b38530a0822ae5,1960455,Pessac (33600),33600,33,false,30,825,27.5,D,B,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,e063a499811f2751,196198,Saint-Sébastien-sur-Loire (44230),44230,44,false,18,410,22.78,B,B,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,2ca11e95fbe25941,196701,Saint-Herblain (44800),44800,44,false,65,920,14.15,C,A,false,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,0bbb3c4fd7a98591,2005788,Roubaix (59100),59100,59,false,15,400,26.67,B,B,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,6ce61a5f8a55617e,2005875,Ramonville-Saint-Agne (31520),31520,31,false,12,420,35.0,C,C,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,c47aee9271265a92,2044980,Roubaix (59100),59100,59,false,12,365,30.42,D,D,true,,,none,,,none,none,0,0.2.0
2026-07-02T05:52:47+00:00,locservice,7b1be5ff6113810e,2045719,Roubaix (59100),59100,59,false,12,365,30.42,C,D,true,,,none,,,none,none,0,0.2.0
